"","DBN","School Name","Grade","Year","Demographic Category","Demographic Variable","# Total Days","# Days Absent","# Days Present","% Attendance","# Contributing 20+ Total Days","# Chronically Absent","% Chronically Absent","district_75"
"385","07X043","P.S. 043 Jonas Bronck","5","2015-16","Gender","Female",5334,"421","4913","92.1","32","10","31.3",1
"386","07X043","P.S. 043 Jonas Bronck","5","2015-16","Gender","Male",5604,"308","5296","94.5","32","6","18.8",1
"387","07X043","P.S. 043 Jonas Bronck","5","2016-17","Gender","Female",5596,"397","5199","92.9","33","9","27.3",1
"388","07X043","P.S. 043 Jonas Bronck","5","2016-17","Gender","Male",7126,"639","6487","91.0","43","15","34.9",1
"389","07X043","P.S. 043 Jonas Bronck","5","2017-18","Gender","Female",6396,"386","6010","94.0","40","11","27.5",1
"390","07X043","P.S. 043 Jonas Bronck","5","2017-18","Gender","Male",6117,"520","5597","91.5","37","9","24.3",1
"391","07X043","P.S. 043 Jonas Bronck","5","2018-19","Gender","Female",8701,"719","7982","91.7","49","12","24.5",1
"392","07X043","P.S. 043 Jonas Bronck","5","2018-19","Gender","Male",5243,"507","4736","90.3","31","14","45.2",1
"393","07X043","P.S. 043 Jonas Bronck","6","2014-15","Gender","Male",107,"s","s","s","s","s","s",1
"394","07X043","P.S. 043 Jonas Bronck","6","2017-18","Gender","Male",169,"s","s","s","s","s","s",1
"395","07X043","P.S. 043 Jonas Bronck","All Grades","2013-14","Poverty","Not Poverty",2195,"151","2044","93.1","14","2","14.3",1
"396","07X043","P.S. 043 Jonas Bronck","All Grades","2013-14","Poverty","Poverty",92858,"8123","84735","91.3","547","189","34.6",1
"397","07X043","P.S. 043 Jonas Bronck","All Grades","2014-15","Poverty","Not Poverty",4805,"351","4454","92.7","31","9","29.0",1
"398","07X043","P.S. 043 Jonas Bronck","All Grades","2014-15","Poverty","Poverty",91312,"8045","83267","91.2","543","181","33.3",1
"399","07X043","P.S. 043 Jonas Bronck","All Grades","2015-16","Poverty","Not Poverty",2615,"218","2397","91.7","17","6","35.3",1
"400","07X043","P.S. 043 Jonas Bronck","All Grades","2015-16","Poverty","Poverty",84947,"6949","77998","91.8","515","164","31.8",1
"401","07X043","P.S. 043 Jonas Bronck","All Grades","2016-17","Poverty","Not Poverty",1944,"121","1823","93.8","11","2","18.2",1
"402","07X043","P.S. 043 Jonas Bronck","All Grades","2016-17","Poverty","Poverty",80847,"6658","74189","91.8","484","156","32.2",1
"403","07X043","P.S. 043 Jonas Bronck","All Grades","2017-18","Poverty","Not Poverty",3236,"331","2905","89.8","21","8","38.1",1
"404","07X043","P.S. 043 Jonas Bronck","All Grades","2017-18","Poverty","Poverty",81516,"7894","73622","90.3","488","175","35.9",1
"405","07X043","P.S. 043 Jonas Bronck","All Grades","2018-19","Poverty","Not Poverty",2572,"223","2349","91.3","16","5","31.3",1
"406","07X043","P.S. 043 Jonas Bronck","All Grades","2018-19","Poverty","Poverty",78037,"7825","70212","90.0","467","185","39.6",1
"407","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2013-14","Poverty","Not Poverty",644,"s","s","s","s","s","s",1
"408","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2013-14","Poverty","Poverty",11715,"s","s","s","s","s","s",1
"409","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2014-15","Poverty","Not Poverty",1373,"s","s","s","s","s","s",1
"410","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2014-15","Poverty","Poverty",10878,"s","s","s","s","s","s",1
"411","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2015-16","Poverty","Not Poverty",526,"s","s","s","s","s","s",1
"412","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2015-16","Poverty","Poverty",6945,"s","s","s","s","s","s",1
"413","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2016-17","Poverty","Not Poverty",175,"s","s","s","s","s","s",1
"414","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2016-17","Poverty","Poverty",5991,"s","s","s","s","s","s",1
"415","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2017-18","Poverty","Not Poverty",475,"s","s","s","s","s","s",1
"416","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2017-18","Poverty","Poverty",12385,"s","s","s","s","s","s",1
"417","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2018-19","Poverty","Not Poverty",969,"113","856","88.3","6","3","50.0",1
"418","07X043","P.S. 043 Jonas Bronck","PK in K-12 Schools","2018-19","Poverty","Poverty",15747,"2271","13476","85.6","100","58","58.0",1
"419","07X043","P.S. 043 Jonas Bronck","0K","2013-14","Poverty","Not Poverty",694,"s","s","s","s","s","s",1
"420","07X043","P.S. 043 Jonas Bronck","0K","2013-14","Poverty","Poverty",13174,"s","s","s","s","s","s",1
"421","07X043","P.S. 043 Jonas Bronck","0K","2014-15","Poverty","Not Poverty",727,"s","s","s","s","s","s",1
"422","07X043","P.S. 043 Jonas Bronck","0K","2014-15","Poverty","Poverty",12686,"s","s","s","s","s","s",1
"423","07X043","P.S. 043 Jonas Bronck","0K","2015-16","Poverty","Not Poverty",534,"s","s","s","s","s","s",1
"424","07X043","P.S. 043 Jonas Bronck","0K","2015-16","Poverty","Poverty",12977,"s","s","s","s","s","s",1
"425","07X043","P.S. 043 Jonas Bronck","0K","2016-17","Poverty","Not Poverty",528,"s","s","s","s","s","s",1
"426","07X043","P.S. 043 Jonas Bronck","0K","2016-17","Poverty","Poverty",8686,"s","s","s","s","s","s",1
"427","07X043","P.S. 043 Jonas Bronck","0K","2017-18","Poverty","Not Poverty",534,"s","s","s","s","s","s",1
"428","07X043","P.S. 043 Jonas Bronck","0K","2017-18","Poverty","Poverty",8781,"s","s","s","s","s","s",1
"429","07X043","P.S. 043 Jonas Bronck","0K","2018-19","Poverty","Poverty",7262,"751","6511","89.7","43","16","37.2",1
"430","07X043","P.S. 043 Jonas Bronck","1","2013-14","Poverty","Not Poverty",358,"s","s","s","s","s","s",1
"431","07X043","P.S. 043 Jonas Bronck","1","2013-14","Poverty","Poverty",16206,"s","s","s","s","s","s",1
"432","07X043","P.S. 043 Jonas Bronck","1","2014-15","Poverty","Not Poverty",909,"29","880","96.8","5","s","s",1
"433","07X043","P.S. 043 Jonas Bronck","1","2014-15","Poverty","Poverty",16572,"1532","15040","90.8","99","s","s",1
"434","07X043","P.S. 043 Jonas Bronck","1","2015-16","Poverty","Not Poverty",584,"s","s","s","s","s","s",1
"435","07X043","P.S. 043 Jonas Bronck","1","2015-16","Poverty","Poverty",13442,"s","s","s","s","s","s",1
"436","07X043","P.S. 043 Jonas Bronck","1","2016-17","Poverty","Not Poverty",352,"s","s","s","s","s","s",1
"437","07X043","P.S. 043 Jonas Bronck","1","2016-17","Poverty","Poverty",13083,"s","s","s","s","s","s",1
"438","07X043","P.S. 043 Jonas Bronck","1","2017-18","Poverty","Not Poverty",712,"s","s","s","s","s","s",1
"439","07X043","P.S. 043 Jonas Bronck","1","2017-18","Poverty","Poverty",9501,"s","s","s","s","s","s",1
"440","07X043","P.S. 043 Jonas Bronck","1","2018-19","Poverty","Not Poverty",57,"s","s","s","s","s","s",1
"441","07X043","P.S. 043 Jonas Bronck","1","2018-19","Poverty","Poverty",9287,"s","s","s","s","s","s",1
"442","07X043","P.S. 043 Jonas Bronck","2","2013-14","Poverty","Not Poverty",71,"s","s","s","s","s","s",1
"443","07X043","P.S. 043 Jonas Bronck","2","2013-14","Poverty","Poverty",13772,"s","s","s","s","s","s",1
"444","07X043","P.S. 043 Jonas Bronck","2","2014-15","Poverty","Not Poverty",949,"74","875","92.2","6","1","16.7",1
"445","07X043","P.S. 043 Jonas Bronck","2","2014-15","Poverty","Poverty",13200,"833","12367","93.7","77","19","24.7",1
"446","07X043","P.S. 043 Jonas Bronck","2","2015-16","Poverty","Not Poverty",220,"s","s","s","s","s","s",1
"447","07X043","P.S. 043 Jonas Bronck","2","2015-16","Poverty","Poverty",14837,"s","s","s","s","s","s",1
"448","07X043","P.S. 043 Jonas Bronck","2","2016-17","Poverty","Not Poverty",176,"s","s","s","s","s","s",1
"449","07X043","P.S. 043 Jonas Bronck","2","2016-17","Poverty","Poverty",12471,"s","s","s","s","s","s",1
"450","07X043","P.S. 043 Jonas Bronck","2","2017-18","Poverty","Not Poverty",356,"s","s","s","s","s","s",1
"451","07X043","P.S. 043 Jonas Bronck","2","2017-18","Poverty","Poverty",11978,"s","s","s","s","s","s",1
"452","07X043","P.S. 043 Jonas Bronck","2","2018-19","Poverty","Not Poverty",356,"s","s","s","s","s","s",1
"453","07X043","P.S. 043 Jonas Bronck","2","2018-19","Poverty","Poverty",9995,"s","s","s","s","s","s",1
"454","07X043","P.S. 043 Jonas Bronck","3","2013-14","Poverty","Poverty",11441,"933","10508","91.8","67","20","29.9",1
"455","07X043","P.S. 043 Jonas Bronck","3","2014-15","Poverty","Not Poverty",182,"s","s","s","s","s","s",1
"456","07X043","P.S. 043 Jonas Bronck","3","2014-15","Poverty","Poverty",14647,"s","s","s","s","s","s",1
"457","07X043","P.S. 043 Jonas Bronck","3","2015-16","Poverty","Not Poverty",369,"s","s","s","s","s","s",1
"458","07X043","P.S. 043 Jonas Bronck","3","2015-16","Poverty","Poverty",12824,"s","s","s","s","s","s",1
"459","07X043","P.S. 043 Jonas Bronck","3","2016-17","Poverty","Not Poverty",176,"s","s","s","s","s","s",1
"460","07X043","P.S. 043 Jonas Bronck","3","2016-17","Poverty","Poverty",15304,"s","s","s","s","s","s",1
"461","07X043","P.S. 043 Jonas Bronck","3","2017-18","Poverty","Not Poverty",712,"s","s","s","s","s","s",1
"462","07X043","P.S. 043 Jonas Bronck","3","2017-18","Poverty","Poverty",11870,"s","s","s","s","s","s",1
"463","07X043","P.S. 043 Jonas Bronck","3","2018-19","Poverty","Not Poverty",495,"s","s","s","s","s","s",1
"464","07X043","P.S. 043 Jonas Bronck","3","2018-19","Poverty","Poverty",9487,"s","s","s","s","s","s",1
"465","07X043","P.S. 043 Jonas Bronck","4","2013-14","Poverty","Not Poverty",249,"s","s","s","s","s","s",1
