"","BORO","CSD","SCHOOL CODE","SCHOOL NAME","GRADE","PROGRAM TYPE","CORE SUBJECT (MS CORE and 9-12 ONLY)","CORE COURSE (MS CORE and 9-12 ONLY)","SERVICE CATEGORY(K-9* ONLY)","NUMBER OF CLASSES","TOTAL REGISTER","AVERAGE CLASS SIZE","SIZE OF SMALLEST CLASS","SIZE OF LARGEST CLASS","DATA SOURCE","SCHOOLWIDE PUPIL-TEACHER RATIO","district_75"
"1","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","03","GEN ED","-","-","-",4,70,17.5,16,19,"ATS",NA,0
"2","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","0K","GEN ED","-","-","-",3,76,25.3,25,26,"ATS",NA,0
"3","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","0K","CTT","-","-","-",1,22,22,22,22,"ATS",NA,0
"4","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","01","GEN ED","-","-","-",4,109,27.3,27,28,"ATS",NA,0
"5","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","01","CTT","-","-","-",1,30,30,30,30,"ATS",NA,0
"6","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","02","GEN ED","-","-","-",4,84,21,18,25,"ATS",NA,0
"7","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","02","CTT","-","-","-",1,25,25,25,25,"ATS",NA,0
"8","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","03","CTT","-","-","-",1,19,19,19,19,"ATS",NA,0
"9","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","04","GEN ED","-","-","-",4,103,25.8,25,28,"ATS",NA,0
"10","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","05","GEN ED","-","-","-",4,78,19.5,16,23,"ATS",NA,0
"11","X",7,"X001","P.S. 001 COURTLANDT SCHOOL","0K-09","SPEC ED","-","-","12:1",4,46,11.5,8,13,"ATS",NA,0
"12","X",7,"X001","P.S. 001 COURTLANDT SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,0
