"","X","DBN","Percent_Attendance","Demographic.Variable","X..Poverty","borough","self_contained_option","gifted_talented_option","X..Male","X..Black","X..Female","X..White","Total.Enrollment","Economic.Need.Index","Percent_Chronically_Absent","X..Students.with.Disabilities","treatment_indicator","new_outcome_labelled","ps","iptw","stable.iptw"
"409",4103,"20K748",94.3,"SWD",0.732,"Brooklyn",0,1,0.496,0.004,0.504,0.307,548,0.654,18.8,0.144,1,"no SC",0.327304629108494,3.05525773565678,1.1590675022883
"410",4119,"20K971",96.6,"SWD",0.922,"Brooklyn",0,0,0.485,0.011,0.515,0.081,357,0.886,0,0.112,1,"no SC",0.297921594847848,3.35658783147529,1.27338254597465
"411",4121,"21K090",91.3,"SWD",0.85,"Brooklyn",0,0,0.511,0.171,0.489,0.121,667,0.891,34.6,0.187,1,"no SC",0.244132549906306,4.09613548207228,1.55394337663608
"412",4144,"21K095",93.6,"SWD",0.754,"Brooklyn",1,1,0.507,0.082,0.493,0.207,943,0.795,26.3,0.176,0,"SC",0.319191279458852,1.46884134974819,1.13862434453397
"413",4157,"21K097",93.9,"SWD",0.683,"Brooklyn",1,0,0.542,0.01,0.458,0.249,780,0.709,29.6,0.176,0,"SC",0.296432363154317,1.42132745685023,1.10179226926152
"414",4167,"21K099",85.9,"SWD",0.755,"Brooklyn",0,1,0.498,0.075,0.502,0.316,876,0.807,58.8,0.14,1,"no SC",0.35870122125408,2.78783550416648,1.05761602266601
"415",4173,"21K100",93.8,"SWD",0.512,"Brooklyn",1,0,0.501,0.03,0.499,0.873,793,0.45,15.4,0.184,0,"SC",0.346877187089642,1.53110560561181,1.18689068557397
"416",4183,"21K101",95,"SWD",0.67,"Brooklyn",1,0,0.524,0.008,0.476,0.284,870,0.688,12.5,0.243,0,"SC",0.268312661477187,1.36670398317795,1.0594489508923
"417",4194,"21K121",93.9,"SWD",0.652,"Brooklyn",0,0,0.539,0.024,0.461,0.33,336,0.727,13.3,0.277,1,"no SC",0.238581505840076,4.19143971985118,1.59009876986223
"418",4208,"21K128",93.8,"SWD",0.872,"Brooklyn",1,0,0.52,0.011,0.48,0.537,467,0.816,25,0.182,0,"SC",0.153345900053275,1.18111989307431,0.915586876893352
"419",4221,"21K153",91.9,"SWD",0.799,"Brooklyn",1,0,0.51,0.012,0.49,0.307,563,0.824,23.5,0.195,0,"SC",0.249808823790181,1.33299355112691,1.03331711670568
"420",4233,"21K177",92.7,"SWD",0.785,"Brooklyn",0,0,0.5,0.007,0.5,0.366,1022,0.803,25,0.166,1,"no SC",0.290641481100249,3.44066509781884,1.3052787837168
"421",4247,"21K188",89.4,"SWD",0.904,"Brooklyn",1,0,0.508,0.497,0.492,0.078,437,0.922,50,0.295,0,"SC",0.129204088600991,1.14837470744829,0.89020328762657
"422",4253,"21K199",94,"SWD",0.847,"Brooklyn",1,0,0.498,0.054,0.502,0.473,556,0.812,22.2,0.198,0,"SC",0.19329638026476,1.23961263534209,0.9609295957214
"423",4264,"21K209",91,"SWD",0.799,"Brooklyn",1,0,0.527,0.034,0.473,0.4,733,0.7,33.3,0.266,0,"SC",0.131366869085447,1.15123400709703,0.892419774920406
"424",4271,"21K212",88.7,"SWD",0.868,"Brooklyn",1,0,0.479,0.119,0.521,0.163,699,0.851,43.3,0.242,0,"SC",0.218158597577913,1.27903177921005,0.99148673986528
"425",4292,"21K215",92.9,"SWD",0.742,"Brooklyn",0,1,0.525,0.021,0.475,0.48,920,0.695,25,0.147,1,"no SC",0.248617532296974,4.02224248129652,1.52591072497263
"426",4304,"21K216",90.8,"SWD",0.753,"Brooklyn",0,0,0.507,0.033,0.493,0.476,762,0.679,40,0.144,1,"no SC",0.264341320723255,3.78298783279108,1.43514512944932
"427",4310,"21K225",93,"SWD",0.782,"Brooklyn",1,0,0.565,0.02,0.435,0.44,1011,0.827,17.4,0.201,0,"SC",0.164420593737267,1.19677434903843,0.927721982338361
"428",4319,"21K226",93.5,"SWD",0.865,"Brooklyn",1,0,0.524,0.017,0.476,0.374,1030,0.795,23.5,0.165,0,"SC",0.175517858721025,1.21288254764227,0.940208822445408
"429",4331,"21K238",93.7,"SWD",0.846,"Brooklyn",1,0,0.522,0.041,0.478,0.242,611,0.869,18.8,0.211,0,"SC",0.198020679091442,1.24691494397525,0.966590238637288
"430",4341,"21K253",93.4,"SWD",0.848,"Brooklyn",1,0,0.514,0.003,0.486,0.24,921,0.896,22.7,0.155,0,"SC",0.265250079106651,1.36100729181998,1.05503295901912
"431",4349,"21K288",87.6,"SWD",0.935,"Brooklyn",1,0,0.517,0.599,0.483,0.059,663,0.955,56.3,0.308,0,"SC",0.102356709184372,1.11402826738823,0.863578429327774
"432",4361,"21K329",88.9,"SWD",0.961,"Brooklyn",1,0,0.541,0.594,0.459,0.056,414,0.935,54.2,0.268,0,"SC",0.0850074628834554,1.09290508876864,0.847204050015587
"433",4376,"22K052",89.6,"SWD",0.764,"Brooklyn",1,1,0.501,0.146,0.499,0.527,823,0.701,31.6,0.13,0,"SC",0.267331357513431,1.36487348033096,1.05802997184144
"434",4378,"22K109",88.3,"SWD",0.872,"Brooklyn",1,0,0.527,0.8,0.473,0.023,681,0.75,46.4,0.256,0,"SC",0.104818799664251,1.1170922709558,0.865953600107364
"435",4388,"22K119",96,"SWD",0.733,"Brooklyn",1,0,0.566,0.624,0.434,0.038,442,0.726,8,0.163,0,"SC",0.209022452556263,1.26425838916892,0.980034623845392
"436",4401,"22K134",94.1,"SWD",0.796,"Brooklyn",1,0,0.493,0.056,0.507,0.379,570,0.85,14.3,0.139,0,"SC",0.330419480521036,1.49347236203669,1.15771794523291
"437",4412,"22K139",92.1,"SWD",0.816,"Brooklyn",1,0,0.503,0.255,0.497,0.107,992,0.753,29.4,0.185,0,"SC",0.2384877807009,1.31317656454732,1.01795527837053
"438",4426,"22K152",95.2,"SWD",0.807,"Brooklyn",1,0,0.529,0.602,0.471,0.041,734,0.824,12,0.228,0,"SC",0.184380387866651,1.22606173898195,0.950425138934049
"439",4443,"22K193",93.6,"SWD",0.764,"Brooklyn",1,1,0.516,0.451,0.484,0.175,758,0.661,18.8,0.208,0,"SC",0.19543071268723,1.24290103508669,0.963478715137465
"440",4450,"22K194",92.5,"SWD",0.883,"Brooklyn",1,0,0.49,0.461,0.51,0.22,590,0.904,25,0.258,0,"SC",0.167469764427931,1.20115757635259,0.931119796083452
"441",4474,"22K197",93.7,"SWD",0.646,"Brooklyn",1,0,0.477,0.102,0.523,0.622,664,0.691,25,0.179,0,"SC",0.384666827026214,1.62513585147245,1.25978155774189
"442",4477,"22K198",95.2,"SWD",0.836,"Brooklyn",1,0,0.523,0.854,0.477,0.01,390,0.75,6.3,0.226,0,"SC",0.142176025990419,1.16574032703454,0.903664862099687
"443",4490,"22K203",93.8,"SWD",0.671,"Brooklyn",1,0,0.517,0.765,0.483,0.034,729,0.658,12.5,0.217,0,"SC",0.269560223667925,1.36903825941891,1.06125844771459
"444",4504,"22K206",95.7,"SWD",0.736,"Brooklyn",1,0,0.494,0.016,0.506,0.396,1505,0.608,13.3,0.128,0,"SC",0.306758863326723,1.44249951005331,1.11820453543644
"445",4514,"22K207",93.7,"SWD",0.518,"Brooklyn",1,0,0.523,0.339,0.477,0.362,1228,0.389,21.1,0.194,0,"SC",0.321413105024974,1.47365062220484,1.14235242224609
"446",4527,"22K217",94.5,"SWD",0.777,"Brooklyn",1,0,0.527,0.095,0.473,0.175,1186,0.802,16.7,0.148,0,"SC",0.289623941787719,1.40770509991086,1.09123241727767
"447",4533,"22K222",94.1,"SWD",0.54,"Brooklyn",1,0,0.532,0.132,0.468,0.459,932,0.435,21.9,0.235,0,"SC",0.263113277258828,1.35706068400861,1.05197360633061
"448",4545,"22K236",94.6,"SWD",0.475,"Brooklyn",0,1,0.493,0.209,0.507,0.5,554,0.366,15.4,0.143,1,"no SC",0.468276087756185,2.13549234339863,0.810137798763078
"449",4560,"22K245",93.1,"SWD",0.958,"Brooklyn",1,0,0.49,0.545,0.51,0.036,308,0.824,33.3,0.244,0,"SC",0.121285461947577,1.13802601037692,0.882181128921901
"450",4564,"22K251",88,"SWD",0.75,"Brooklyn",1,0,0.485,0.729,0.515,0.055,524,0.77,47.8,0.2,0,"SC",0.301916095330756,1.43249256043771,1.11044729436422
"451",4577,"22K254",93.8,"SWD",0.58,"Brooklyn",1,0,0.535,0.009,0.465,0.597,789,0.549,23.1,0.142,0,"SC",0.334292566751911,1.50216138510103,1.1644535489065
"452",4586,"22K255",95.7,"SWD",0.77,"Brooklyn",1,0,0.516,0.025,0.484,0.64,936,0.726,7.1,0.166,0,"SC",0.209985671502664,1.26579982657032,0.981229523588048
"453",4598,"22K277",90.9,"SWD",0.527,"Brooklyn",0,0,0.523,0.024,0.477,0.703,421,0.386,20,0.207,1,"no SC",0.269294056419033,3.71341281459238,1.4087505828865
"454",4604,"22K312",94.5,"SWD",0.574,"Brooklyn",1,0,0.515,0.389,0.485,0.413,792,0.454,5.3,0.196,0,"SC",0.286161405856999,1.40087690439398,1.0859392999195
"455",4621,"22K315",94.8,"SWD",0.903,"Brooklyn",1,0,0.517,0.558,0.483,0.058,677,0.835,12.1,0.27,0,"SC",0.114281437714271,1.12902680668603,0.87520507776047
"456",4626,"23K041",88.8,"SWD",0.987,"Brooklyn",1,0,0.505,0.6,0.495,0.033,457,0.964,46.7,0.33,0,"SC",0.0832043612708875,1.09075562508808,0.845537817188743
"457",4634,"23K137",88.9,"SWD",0.934,"Brooklyn",1,0,0.482,0.749,0.518,0.013,303,0.895,45,0.3,0,"SC",0.123430376500268,1.14081069340216,0.884339774499853
"458",4645,"23K150",94.8,"SWD",0.988,"Brooklyn",1,0,0.515,0.649,0.485,0.018,171,0.975,12.5,0.363,0,"SC",0.0673721119463348,1.07223900637041,0.831184005012906
"459",4647,"23K155",88.4,"SWD",0.974,"Brooklyn",0,0,0.5,0.512,0.5,0.014,416,0.938,56.3,0.228,1,"no SC",0.138144599292047,7.23879185378745,2.74616713858044
"460",4658,"23K156",90.2,"SWD",0.917,"Brooklyn",1,0,0.539,0.797,0.461,0.008,714,0.89,38.2,0.231,0,"SC",0.109825897143817,1.12337574952072,0.870824460846412
"461",4665,"23K165",87.5,"SWD",0.939,"Brooklyn",1,0,0.541,0.79,0.459,0.039,229,0.954,27.3,0.284,0,"SC",0.0862194442651316,1.09435464972856,0.848327728483743
"462",4672,"23K178",75.2,"SWD",0.894,"Brooklyn",1,0,0.491,0.753,0.509,0.032,377,0.918,88.9,0.207,0,"SC",0.200091507204243,1.25014299636313,0.96909257766451
"463",4681,"23K184",92.7,"SWD",0.915,"Brooklyn",1,0,0.497,0.718,0.503,0.007,567,0.953,19,0.287,0,"SC",0.141125222169964,1.16431408374399,0.902559259147992
"464",4685,"23K284",91.2,"SWD",0.947,"Brooklyn",1,0,0.494,0.662,0.506,0.006,474,0.972,35.7,0.287,0,"SC",0.131504223960247,1.15141607776136,0.8925609134381
"465",4692,"23K298",92.1,"SWD",0.989,"Brooklyn",1,0,0.515,0.718,0.485,0.023,262,0.973,33.3,0.244,0,"SC",0.105624328248086,1.11809839151951,0.866733530062072
"466",4702,"23K323",88.5,"SWD",0.944,"Brooklyn",1,0,0.466,0.775,0.534,0.002,569,0.926,53.8,0.188,0,"SC",0.212132779587608,1.26924940407671,0.98390358564914
"467",4710,"23K327",87.5,"SWD",0.972,"Brooklyn",1,0,0.505,0.664,0.495,0.021,327,0.944,57.1,0.269,0,"SC",0.108822198271028,1.12211053513665,0.869843685149291
"468",4715,"23K401",88.4,"SWD",0.977,"Brooklyn",1,0,0.523,0.659,0.477,0.007,302,0.956,50,0.212,0,"SC",0.119455913906076,1.13566147997879,0.880348179519189
"469",4723,"23K446",90.4,"SWD",0.951,"Brooklyn",1,0,0.501,0.738,0.499,0.014,347,0.947,33.3,0.262,0,"SC",0.125203790148838,1.1431233797528,0.886132535154746
"470",4741,"24Q012",93.6,"SWD",0.893,"Queens",1,0,0.513,0.006,0.487,0.03,1219,0.759,18.8,0.15,0,"SC",0.209742409816634,1.26541018070825,0.980927475811153
"471",4745,"24Q013",93.5,"SWD",0.747,"Queens",1,0,0.503,0.09,0.497,0.041,1597,0.776,26.3,0.14,0,"SC",0.393023714921819,1.64751082469589,1.27712630993372
"472",4757,"24Q014",92.9,"SWD",0.858,"Queens",1,0,0.5,0.024,0.5,0.02,1691,0.893,26.2,0.177,0,"SC",0.291450036359295,1.41133307644496,1.09404477165743
"473",4770,"24Q016",94.8,"SWD",0.883,"Queens",1,0,0.51,0.001,0.49,0.011,1574,0.906,16.2,0.198,0,"SC",0.238480813646402,1.31316455044071,1.01794596521069
"474",4787,"24Q019",95.5,"SWD",0.921,"Queens",1,0,0.507,0.006,0.493,0.004,1891,0.891,7.8,0.222,0,"SC",0.187369421351574,1.23057146294348,0.953921011031198
"475",4795,"24Q049",95.1,"SWD",0.479,"Queens",1,0,0.501,0.005,0.499,0.556,1160,0.385,15.2,0.172,0,"SC",0.431969777189917,1.76046970714504,1.36469038450856
"476",4800,"24Q058",94.7,"SWD",0.771,"Queens",1,0,0.511,0.009,0.489,0.192,1027,0.596,12.1,0.173,0,"SC",0.229245758016758,1.2974304201387,1.00574909738353
"477",4816,"24Q068",93.7,"SWD",0.721,"Queens",1,1,0.519,0.026,0.481,0.077,646,0.744,30.8,0.221,0,"SC",0.296041963173405,1.42053921922384,1.10118123897508
"478",4831,"24Q071",90.7,"SWD",0.872,"Queens",1,0,0.511,0.009,0.489,0.338,752,0.738,36.7,0.191,0,"SC",0.15925546049193,1.18942193854166,0.922022501190128
"479",4844,"24Q081",95.3,"SWD",0.834,"Queens",1,0,0.525,0.013,0.475,0.066,682,0.87,12.5,0.27,0,"SC",0.186095082981351,1.22864474595266,0.952427448182392
"480",4848,"24Q087",89.8,"SWD",0.647,"Queens",1,0,0.526,0.021,0.474,0.408,606,0.578,40,0.233,0,"SC",0.236891580951232,1.3104297830268,1.01582601348503
"481",4862,"24Q088",92.1,"SWD",0.759,"Queens",1,0,0.515,0.019,0.485,0.389,941,0.682,23.5,0.18,0,"SC",0.230106334377802,1.29888066969851,1.00687330964426
"482",4877,"24Q089",95.8,"SWD",0.787,"Queens",1,0,0.497,0.001,0.503,0.021,1961,0.819,8.3,0.158,0,"SC",0.36867355273816,1.58396659024369,1.22786774820106
"483",4888,"24Q091",91.2,"SWD",0.719,"Queens",1,0,0.512,0.019,0.488,0.44,750,0.536,37.1,0.217,0,"SC",0.188742313444619,1.23265396010733,0.955535332393125
"484",4899,"24Q102",94,"SWD",0.86,"Queens",1,0,0.517,0.029,0.483,0.033,1326,0.682,25,0.135,0,"SC",0.217267166619796,1.27757512826124,0.990357565341373
"485",4909,"24Q110",93.5,"SWD",0.946,"Queens",1,0,0.49,0.008,0.51,0.006,790,0.905,22.2,0.189,0,"SC",0.21827922129712,1.27922914069051,0.991639731600136
"486",4919,"24Q113",93.2,"SWD",0.566,"Queens",1,0,0.502,0.01,0.498,0.508,896,0.338,31.3,0.154,0,"SC",0.328455748053437,1.48910514400408,1.15433254164888
