"","DBN","School Name","Grade","Year","Demographic Category","Demographic Variable","# Total Days","# Days Absent","# Days Present","% Attendance","# Contributing 20+ Total Days","# Chronically Absent","% Chronically Absent","district_75"
"1","07X001","P.S. 001 Courtlandt School","All Grades","2013-14","All Students","All Students",125342,"10517","114825","91.6","740","236","31.9",0
"2","07X001","P.S. 001 Courtlandt School","All Grades","2014-15","All Students","All Students",127951,"11040","116911","91.4","746","253","33.9",0
"3","07X001","P.S. 001 Courtlandt School","All Grades","2015-16","All Students","All Students",121083,"10504","110579","91.3","716","257","35.9",0
"4","07X001","P.S. 001 Courtlandt School","All Grades","2016-17","All Students","All Students",110387,"10295","100092","90.7","671","238","35.5",0
"5","07X001","P.S. 001 Courtlandt School","All Grades","2017-18","All Students","All Students",118129,"12368","105761","89.5","710","302","42.5",0
"6","07X001","P.S. 001 Courtlandt School","All Grades","2018-19","All Students","All Students",116598,"12232","104366","89.5","707","310","43.8",0
"7","07X001","P.S. 001 Courtlandt School","PK in K-12 Schools","2013-14","All Students","All Students",5810,"s","s","s","s","s","s",0
"8","07X001","P.S. 001 Courtlandt School","PK in K-12 Schools","2014-15","All Students","All Students",6076,"778","5298","87.2","38","21","55.3",0
"9","07X001","P.S. 001 Courtlandt School","PK in K-12 Schools","2015-16","All Students","All Students",6084,"756","5328","87.6","36","23","63.9",0
"10","07X001","P.S. 001 Courtlandt School","PK in K-12 Schools","2016-17","All Students","All Students",6177,"634","5543","89.7","37","17","45.9",0
"11","07X001","P.S. 001 Courtlandt School","PK in K-12 Schools","2017-18","All Students","All Students",11416,"s","s","s","s","s","s",0
"12","07X001","P.S. 001 Courtlandt School","PK in K-12 Schools","2018-19","All Students","All Students",16561,"2445","14116","85.2","101","63","62.4",0
"13","07X001","P.S. 001 Courtlandt School","0K","2013-14","All Students","All Students",18757,"2180","16577","88.4","116","58","50.0",0
"14","07X001","P.S. 001 Courtlandt School","0K","2014-15","All Students","All Students",20160,"2511","17649","87.5","122","63","51.6",0
"15","07X001","P.S. 001 Courtlandt School","0K","2015-16","All Students","All Students",19693,"2262","17431","88.5","118","56","47.5",0
"16","07X001","P.S. 001 Courtlandt School","0K","2016-17","All Students","All Students",17166,"2103","15063","87.7","109","55","50.5",0
"17","07X001","P.S. 001 Courtlandt School","0K","2017-18","All Students","All Students",17878,"2238","15640","87.5","112","62","55.4",0
"18","07X001","P.S. 001 Courtlandt School","0K","2018-19","All Students","All Students",15532,"1832","13700","88.2","94","48","51.1",0
"19","07X001","P.S. 001 Courtlandt School","1","2013-14","All Students","All Students",21187,"1895","19292","91.1","125","46","36.8",0
"20","07X001","P.S. 001 Courtlandt School","1","2014-15","All Students","All Students",20740,"2219","18521","89.3","124","51","41.1",0
"21","07X001","P.S. 001 Courtlandt School","1","2015-16","All Students","All Students",18941,"1893","17048","90.0","114","47","41.2",0
"22","07X001","P.S. 001 Courtlandt School","1","2016-17","All Students","All Students",18997,"2038","16959","89.3","114","45","39.5",0
"23","07X001","P.S. 001 Courtlandt School","1","2017-18","All Students","All Students",18747,"2052","16695","89.1","111","51","45.9",0
"24","07X001","P.S. 001 Courtlandt School","1","2018-19","All Students","All Students",17077,"1703","15374","90.0","104","47","45.2",0
"25","07X001","P.S. 001 Courtlandt School","2","2013-14","All Students","All Students",21847,"1695","20152","92.2","125","31","24.8",0
"26","07X001","P.S. 001 Courtlandt School","2","2014-15","All Students","All Students",20031,"1657","18374","91.7","116","39","33.6",0
